*** 2025-05-26  07:01:17 ***
FD : ==:== <=> 06:59 : SP

FD : en ligne <=> ==:== : SP

*** 2025-05-26  16:28:30 ***
FD : 16:26 <=> en ligne : SP

*** 2025-05-26  16:31:30 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  16:34:30 ***
FD : ==:== <=> 16:32 : SP

_*** 2025-05-26  16:37:30 ***_

*** 2025-05-26  16:40:30 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  16:43:30 ***
FD : ==:== <=> 16:41 : SP

_*** 2025-05-26  16:46:30 ***_

_*** 2025-05-26  16:49:30 ***_

_*** 2025-05-26  16:52:30 ***_

_*** 2025-05-26  16:55:30 ***_

*** 2025-05-26  16:58:30 ***
FD : 16:58 <=> 16:56 : SP

*** 2025-05-26  17:01:30 ***
FD : 17:00 <=> ==:== : SP

_*** 2025-05-26  17:04:30 ***_

_*** 2025-05-26  17:07:30 ***_

_*** 2025-05-26  17:10:30 ***_

_*** 2025-05-26  17:13:30 ***_

_*** 2025-05-26  17:16:30 ***_

_*** 2025-05-26  17:19:30 ***_

_*** 2025-05-26  17:22:30 ***_

*** 2025-05-26  17:25:30 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  17:28:30 ***
FD : 17:28 <=> 17:28 : SP

*** 2025-05-26  17:31:30 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  17:34:30 ***
FD : 17:33 <=> 17:32 : SP

_*** 2025-05-26  17:37:30 ***_

_*** 2025-05-26  17:40:30 ***_

*** 2025-05-26  17:43:30 ***
FD : ==:== <=> 17:43 : SP

*** 2025-05-26  17:46:30 ***
FD : ==:== <=> 17:46 : SP

_*** 2025-05-26  17:49:30 ***_

_*** 2025-05-26  17:52:30 ***_

*** 2025-05-26  17:55:18 *** (restart)
FD : 17:33 <=> 17:55 : SP

_*** 2025-05-26  17:58:18 ***_

_*** 2025-05-26  18:01:18 ***_

_*** 2025-05-26  18:04:18 ***_

_*** 2025-05-26  18:07:18 ***_

_*** 2025-05-26  18:10:18 ***_

_*** 2025-05-26  18:13:18 ***_

*** 2025-05-26  18:16:18 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  18:19:18 ***
FD : ==:== <=> 18:16 : SP

_*** 2025-05-26  18:22:18 ***_

_*** 2025-05-26  18:25:18 ***_

_*** 2025-05-26  18:28:18 ***_

_*** 2025-05-26  18:31:18 ***_

_*** 2025-05-26  18:34:18 ***_

_*** 2025-05-26  18:37:18 ***_

_*** 2025-05-26  18:40:18 ***_

_*** 2025-05-26  18:43:18 ***_

_*** 2025-05-26  18:46:18 ***_

_*** 2025-05-26  18:49:18 ***_

*** 2025-05-26  18:52:18 ***
FD : 18:51 <=> ==:== : SP

_*** 2025-05-26  18:55:18 ***_

_*** 2025-05-26  18:58:18 ***_

_*** 2025-05-26  19:01:18 ***_

_*** 2025-05-26  19:04:18 ***_

_*** 2025-05-26  19:07:18 ***_

_*** 2025-05-26  19:10:18 ***_

*** 2025-05-26  19:13:18 ***
FD : 19:12 <=> ==:== : SP

_*** 2025-05-26  19:16:18 ***_

_*** 2025-05-26  19:19:18 ***_

_*** 2025-05-26  19:22:18 ***_

_*** 2025-05-26  19:25:18 ***_

_*** 2025-05-26  19:28:18 ***_

_*** 2025-05-26  19:31:18 ***_

_*** 2025-05-26  19:34:18 ***_

_*** 2025-05-26  19:37:18 ***_

_*** 2025-05-26  19:40:18 ***_

*** 2025-05-26  19:43:18 ***
FD : ==:== <=> 19:41 : SP

_*** 2025-05-26  19:46:18 ***_

_*** 2025-05-26  19:49:18 ***_

_*** 2025-05-26  19:52:18 ***_

*** 2025-05-26  19:55:18 ***
FD : ==:== <=> 19:55 : SP

*** 2025-05-26  19:58:18 ***
FD : en ligne <=> ==:== : SP

*** 2025-05-26  20:01:18 ***
FD : 19:59 <=> ==:== : SP

_*** 2025-05-26  20:04:18 ***_

_*** 2025-05-26  20:07:18 ***_

_*** 2025-05-26  20:10:18 ***_

_*** 2025-05-26  20:13:18 ***_

_*** 2025-05-26  20:16:18 ***_

*** 2025-05-26  20:19:18 ***
FD : 20:18 <=> ==:== : SP

_*** 2025-05-26  20:22:18 ***_

_*** 2025-05-26  20:25:18 ***_

_*** 2025-05-26  20:28:18 ***_

_*** 2025-05-26  20:31:18 ***_

_*** 2025-05-26  20:34:18 ***_

_*** 2025-05-26  20:37:18 ***_

_*** 2025-05-26  20:40:18 ***_

_*** 2025-05-26  20:43:18 ***_

_*** 2025-05-26  20:46:18 ***_

_*** 2025-05-26  20:49:18 ***_

_*** 2025-05-26  20:52:18 ***_

_*** 2025-05-26  20:55:18 ***_

_*** 2025-05-26  20:58:18 ***_

*** 2025-05-26  21:01:18 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  21:04:18 ***
FD : ==:== <=> 21:03 : SP

_*** 2025-05-26  21:07:18 ***_

_*** 2025-05-26  21:10:18 ***_

_*** 2025-05-26  21:13:18 ***_

_*** 2025-05-26  21:16:18 ***_

_*** 2025-05-26  21:19:18 ***_

_*** 2025-05-26  21:22:18 ***_

_*** 2025-05-26  21:25:18 ***_

_*** 2025-05-26  21:28:18 ***_

_*** 2025-05-26  21:31:18 ***_

_*** 2025-05-26  21:34:18 ***_

_*** 2025-05-26  21:37:18 ***_

_*** 2025-05-26  21:40:18 ***_

_*** 2025-05-26  21:43:18 ***_

_*** 2025-05-26  21:46:18 ***_

_*** 2025-05-26  21:49:18 ***_

_*** 2025-05-26  21:52:18 ***_

*** 2025-05-26  21:55:18 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  21:57:35 *** (restart)
FD : 20:18 <=> 21:57 : SP

*** 2025-05-26  22:00:35 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  22:03:35 ***
FD : ==:== <=> 22:00 : SP

_*** 2025-05-26  22:06:35 ***_

_*** 2025-05-26  22:09:35 ***_

*** 2025-05-26  22:12:35 ***
FD : ==:== <=> 22:10 : SP

*** 2025-05-26  22:15:35 ***
FD : ==:== <=> 22:15 : SP

_*** 2025-05-26  22:18:35 ***_

*** 2025-05-26  22:21:35 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  22:24:35 ***
FD : ==:== <=> 22:23 : SP

_*** 2025-05-26  22:27:35 ***_

_*** 2025-05-26  22:30:35 ***_

_*** 2025-05-26  22:33:35 ***_

_*** 2025-05-26  22:36:35 ***_

_*** 2025-05-26  22:39:35 ***_

_*** 2025-05-26  22:42:35 ***_

_*** 2025-05-26  22:45:35 ***_

_*** 2025-05-26  22:48:35 ***_

_*** 2025-05-26  22:51:35 ***_

_*** 2025-05-26  22:54:35 ***_

_*** 2025-05-26  22:57:35 ***_

_*** 2025-05-26  23:00:35 ***_

_*** 2025-05-26  23:03:35 ***_

_*** 2025-05-26  23:06:35 ***_

_*** 2025-05-26  23:09:35 ***_

_*** 2025-05-26  23:12:35 ***_

_*** 2025-05-26  23:15:35 ***_

*** 2025-05-26  23:18:16 *** (restart)
FD : 20:18 <=> 22:23 : SP

_*** 2025-05-26  23:21:16 ***_

_*** 2025-05-26  23:24:16 ***_

_*** 2025-05-26  23:27:16 ***_

_*** 2025-05-26  23:30:16 ***_

_*** 2025-05-26  23:33:16 ***_

_*** 2025-05-26  23:36:16 ***_

_*** 2025-05-26  23:39:16 ***_

_*** 2025-05-26  23:42:16 ***_

_*** 2025-05-26  23:45:16 ***_

_*** 2025-05-26  23:48:16 ***_

_*** 2025-05-26  23:51:16 ***_

_*** 2025-05-26  23:54:16 ***_

_*** 2025-05-26  23:57:16 ***_

_*** 2025-05-27  00:00:16 ***_

_*** 2025-05-27  00:03:16 ***_

_*** 2025-05-27  00:06:16 ***_

_*** 2025-05-27  00:09:16 ***_

_*** 2025-05-27  00:12:16 ***_

_*** 2025-05-27  00:15:16 ***_

_*** 2025-05-27  00:18:16 ***_

_*** 2025-05-27  00:21:16 ***_

_*** 2025-05-27  00:24:16 ***_

_*** 2025-05-27  00:27:16 ***_

_*** 2025-05-27  00:30:16 ***_

_*** 2025-05-27  00:33:16 ***_

_*** 2025-05-27  00:36:16 ***_

_*** 2025-05-27  00:39:16 ***_

_*** 2025-05-27  00:42:16 ***_

_*** 2025-05-27  00:45:16 ***_

_*** 2025-05-27  00:48:16 ***_

_*** 2025-05-27  00:51:16 ***_

_*** 2025-05-27  00:54:16 ***_

_*** 2025-05-27  00:57:16 ***_

_*** 2025-05-27  01:00:16 ***_

_*** 2025-05-27  01:03:16 ***_

_*** 2025-05-27  01:06:16 ***_

_*** 2025-05-27  01:09:16 ***_

_*** 2025-05-27  01:12:16 ***_

_*** 2025-05-27  01:15:16 ***_

_*** 2025-05-27  01:18:16 ***_

_*** 2025-05-27  01:21:16 ***_

_*** 2025-05-27  01:24:16 ***_

_*** 2025-05-27  01:27:16 ***_

_*** 2025-05-27  01:30:16 ***_

_*** 2025-05-27  01:33:16 ***_

_*** 2025-05-27  01:36:16 ***_

_*** 2025-05-27  01:39:16 ***_

_*** 2025-05-27  01:42:16 ***_

_*** 2025-05-27  01:45:16 ***_

_*** 2025-05-27  01:48:16 ***_

_*** 2025-05-27  01:51:16 ***_

_*** 2025-05-27  01:54:16 ***_

_*** 2025-05-27  01:57:16 ***_

_*** 2025-05-27  02:00:16 ***_

_*** 2025-05-27  02:03:16 ***_

_*** 2025-05-27  02:06:16 ***_

_*** 2025-05-27  02:09:16 ***_

_*** 2025-05-27  02:12:16 ***_

_*** 2025-05-27  02:15:16 ***_

_*** 2025-05-27  02:18:16 ***_

_*** 2025-05-27  02:21:16 ***_

